transaction_id,timestamp,amount,status,method,retry_count,latency_ms,device_risk,merchant_risk,gateway_status,settlement_amount,expected_settlement
pay_demo_000000,2026-07-30 07:00:00,3045.39,success,upi,0,799.0,0.107,0.168,healthy,2988.5699999999997,2988.5699999999997
pay_demo_000001,2026-07-20 09:04:00,768.46,success,netbanking,0,818.0,0.082,0.038,healthy,752.63,752.63
pay_demo_000002,2026-07-22 05:01:00,5513.6,success,upi,0,681.0,0.225,0.123,healthy,5412.360000000001,5412.360000000001
pay_demo_000003,2026-07-28 19:31:00,348.42,success,netbanking,0,741.0,0.333,0.143,healthy,340.15000000000003,340.15000000000003
pay_demo_000004,2026-07-18 22:14:00,2869.01,success,card,0,798.0,0.203,0.367,healthy,2772.4900000000002,2815.3700000000003
pay_demo_000005,2026-07-25 01:06:00,1986.11,failed,card,0,731.0,0.155,0.426,healthy,0.0,0.0
pay_demo_000006,2026-07-26 20:14:00,2903.35,success,upi,0,866.0,0.176,0.18,healthy,2849.0899999999997,2849.0899999999997
pay_demo_000007,2026-07-07 23:33:00,7934.76,success,card,0,1180.0,0.045,0.322,healthy,7789.93,7789.93
pay_demo_000008,2026-07-02 17:18:00,5347.83,success,upi,1,886.0,0.086,0.17,healthy,5249.57,5249.57
pay_demo_000009,2026-07-10 07:19:00,385.61,success,netbanking,0,763.0,0.329,0.228,healthy,376.67,376.67
pay_demo_000010,2026-07-09 20:05:00,223.93,success,upi,0,1012.0,0.185,0.154,degraded,217.9,217.9
pay_demo_000011,2026-07-28 01:55:00,2743.22,success,card,1,839.0,0.051,0.114,healthy,2691.8399999999997,2691.8399999999997
pay_demo_000012,2026-07-29 06:59:00,439.21,success,upi,0,302.0,0.212,0.239,healthy,429.29999999999995,429.29999999999995
pay_demo_000013,2026-07-01 03:55:00,1197.03,success,upi,0,426.0,0.151,0.184,healthy,1173.48,1173.48
pay_demo_000014,2026-07-16 11:50:00,2806.6,success,upi,3,1597.0,0.408,0.341,degraded,2754.08,2754.08
pay_demo_000015,2026-07-26 10:59:00,234.21,failed,upi,2,912.0,0.453,0.232,healthy,0.0,0.0
pay_demo_000016,2026-07-05 01:47:00,146.94,failed,netbanking,1,2316.0,0.15,0.32,timeout,0.0,0.0
pay_demo_000017,2026-07-25 17:01:00,1570.74,success,upi,0,357.0,0.041,0.164,healthy,1540.47,1540.47
pay_demo_000018,2026-07-04 16:35:00,1266.97,success,wallet,0,665.0,0.323,0.247,healthy,1242.16,1242.16
pay_demo_000019,2026-07-15 12:08:00,947.85,failed,card,0,1244.0,0.221,0.543,degraded,0.0,0.0
pay_demo_000020,2026-07-26 07:27:00,1259.58,success,card,0,896.0,0.144,0.312,healthy,1234.9099999999999,1234.9099999999999
pay_demo_000021,2026-07-10 09:27:00,512.59,success,card,0,1269.0,0.206,0.098,healthy,423.47,501.36
pay_demo_000022,2026-07-11 14:09:00,266.8,success,card,0,800.0,0.192,0.048,healthy,260.0,260.0
pay_demo_000023,2026-07-09 15:08:00,1025.92,success,upi,0,1221.0,0.218,0.026,degraded,990.9300000000001,1005.45
pay_demo_000024,2026-07-23 07:17:00,458.65,success,upi,0,481.0,0.137,0.141,healthy,448.39,448.39
pay_demo_000025,2026-07-08 21:37:00,234.28,failed,upi,0,1387.0,0.214,0.044,degraded,0.0,0.0
pay_demo_000026,2026-07-31 16:54:00,2009.58,success,upi,0,709.0,0.304,0.257,healthy,1971.4099999999999,1971.4099999999999
pay_demo_000027,2026-07-14 19:08:00,1139.79,success,upi,0,485.0,0.27,0.128,healthy,1117.27,1117.27
pay_demo_000028,2026-07-15 19:44:00,1819.88,success,wallet,1,777.0,0.134,0.119,healthy,1785.1200000000001,1785.1200000000001
pay_demo_000029,2026-07-16 15:23:00,450.66,success,upi,0,1135.0,0.085,0.035,degraded,440.55,440.55
pay_demo_000030,2026-07-19 01:24:00,627.62,failed,card,0,1006.0,0.292,0.283,healthy,0.0,0.0
pay_demo_000031,2026-07-18 03:48:00,446.28,success,upi,0,994.0,0.224,0.234,healthy,436.25,436.25
pay_demo_000032,2026-07-16 19:01:00,499.38,success,netbanking,0,999.0,0.164,0.258,healthy,488.39,488.39
pay_demo_000033,2026-07-31 20:39:00,1473.52,success,card,0,641.0,0.044,0.264,healthy,1445.0,1445.0
pay_demo_000034,2026-07-26 00:54:00,553.92,success,upi,1,868.0,0.19,0.154,healthy,541.9499999999999,541.9499999999999
pay_demo_000035,2026-07-25 13:44:00,1730.33,success,netbanking,1,2320.0,0.085,0.237,timeout,1697.1799999999998,1697.1799999999998
pay_demo_000036,2026-07-22 17:00:00,1702.33,failed,netbanking,0,661.0,0.103,0.247,healthy,0.0,0.0
pay_demo_000037,2026-07-20 06:54:00,9183.48,success,netbanking,0,672.0,0.306,0.196,healthy,9004.69,9016.18
pay_demo_000038,2026-07-11 13:43:00,301.03,success,card,0,451.0,0.265,0.262,healthy,293.60999999999996,293.60999999999996
pay_demo_000039,2026-07-31 15:47:00,2945.11,success,upi,3,418.0,0.102,0.06,healthy,2890.1,2890.1
pay_demo_000040,2026-07-15 10:52:00,1108.22,success,upi,0,933.0,0.388,0.185,healthy,1086.27,1086.27
pay_demo_000041,2026-07-07 16:11:00,1195.08,success,netbanking,0,1356.0,0.089,0.214,degraded,1171.57,1171.57
pay_demo_000042,2026-07-27 04:44:00,284.33,success,card,1,800.0,0.287,0.278,healthy,277.21,277.21
pay_demo_000043,2026-07-05 23:11:00,764.95,success,upi,1,980.0,0.136,0.366,healthy,749.1800000000001,749.1800000000001
pay_demo_000044,2026-07-27 13:56:00,2548.34,failed,netbanking,0,351.0,0.269,0.155,healthy,0.0,0.0
pay_demo_000045,2026-07-19 23:43:00,1116.02,success,card,0,570.0,0.008,0.427,healthy,1093.93,1093.93
pay_demo_000046,2026-07-04 13:20:00,1314.29,success,card,3,790.0,0.413,0.187,healthy,1288.6299999999999,1288.6299999999999
pay_demo_000047,2026-07-02 08:41:00,906.22,success,upi,0,840.0,0.325,0.296,healthy,887.9100000000001,887.9100000000001
pay_demo_000048,2026-07-14 18:54:00,3845.16,success,upi,0,663.0,0.479,0.113,healthy,3773.95,3773.95
pay_demo_000049,2026-07-02 02:32:00,1186.22,success,upi,0,1637.0,0.28,0.125,degraded,1162.8700000000001,1162.8700000000001
pay_demo_000050,2026-07-05 09:19:00,134.23,success,upi,0,798.0,0.154,0.124,healthy,129.81,129.81
pay_demo_000051,2026-07-16 23:04:00,606.64,success,netbanking,0,471.0,0.058,0.191,healthy,593.72,593.72
pay_demo_000052,2026-07-31 01:52:00,169.22,success,upi,0,536.0,0.055,0.173,healthy,164.17,164.17
pay_demo_000053,2026-07-15 10:51:00,46.93,failed,card,1,935.0,0.175,0.213,healthy,0.0,0.0
pay_demo_000054,2026-07-26 01:29:00,713.29,success,upi,0,857.0,0.109,0.238,healthy,698.4499999999999,698.4499999999999
pay_demo_000055,2026-07-29 10:22:00,4598.84,success,card,0,313.0,0.393,0.023,healthy,4514.06,4514.06
pay_demo_000056,2026-07-26 12:39:00,1270.44,success,upi,0,1060.0,0.165,0.137,healthy,1245.5700000000002,1245.5700000000002
pay_demo_000057,2026-07-20 12:08:00,375.2,failed,upi,0,888.0,0.099,0.089,healthy,0.0,0.0
pay_demo_000058,2026-07-14 16:23:00,473.1,success,upi,0,1059.0,0.459,0.168,healthy,462.58000000000004,462.58000000000004
pay_demo_000059,2026-07-16 22:30:00,3754.14,success,upi,0,662.0,0.196,0.153,healthy,3684.5699999999997,3684.5699999999997
pay_demo_000060,2026-07-09 06:06:00,1418.88,success,wallet,0,1332.0,0.208,0.149,degraded,1356.0800000000002,1391.3400000000001
pay_demo_000061,2026-07-16 09:40:00,1271.56,success,card,0,491.0,0.123,0.102,healthy,1246.6699999999998,1246.6699999999998
pay_demo_000062,2026-07-12 18:15:00,1148.87,success,upi,0,1983.0,0.238,0.084,degraded,1126.1899999999998,1126.1899999999998
pay_demo_000063,2026-07-08 16:09:00,1259.41,success,card,0,710.0,0.107,0.3,healthy,1234.74,1234.74
pay_demo_000064,2026-07-31 18:58:00,2711.9,success,netbanking,3,1765.0,0.142,0.096,degraded,2639.36,2661.09
pay_demo_000065,2026-07-01 08:46:00,2106.05,success,upi,1,601.0,0.048,0.321,healthy,2066.1400000000003,2066.1400000000003
pay_demo_000066,2026-07-04 00:18:00,1503.73,success,card,1,788.0,0.113,0.022,healthy,1474.66,1474.66
pay_demo_000067,2026-07-06 23:08:00,427.15,success,card,0,366.0,0.149,0.244,healthy,417.46,417.46
pay_demo_000068,2026-07-31 00:56:00,2020.52,success,upi,0,662.0,0.094,0.107,healthy,1982.15,1982.15
pay_demo_000069,2026-07-22 10:52:00,611.4,success,upi,0,976.0,0.373,0.126,healthy,598.39,598.39
pay_demo_000070,2026-07-28 08:05:00,3618.61,success,card,0,462.0,0.158,0.121,healthy,3551.48,3551.48
pay_demo_000071,2026-07-07 05:15:00,340.0,success,netbanking,0,997.0,0.071,0.268,healthy,263.6,331.88
pay_demo_000072,2026-07-23 08:24:00,1056.14,success,upi,0,828.0,0.334,0.154,healthy,1035.13,1035.13
pay_demo_000073,2026-07-12 10:56:00,1203.08,success,netbanking,0,510.0,0.145,0.018,healthy,1179.4199999999998,1179.4199999999998
pay_demo_000074,2026-07-16 03:49:00,322.26,success,upi,0,635.0,0.076,0.159,healthy,314.46,314.46
pay_demo_000075,2026-07-01 02:46:00,6781.62,success,card,1,644.0,0.207,0.591,healthy,6602.77,6657.55
pay_demo_000076,2026-07-20 03:27:00,5220.8,success,netbanking,0,739.0,0.281,0.176,healthy,5124.83,5124.83
pay_demo_000077,2026-07-26 17:33:00,762.36,success,upi,0,627.0,0.277,0.316,healthy,746.64,746.64
pay_demo_000078,2026-07-21 13:47:00,2622.07,success,upi,0,1210.0,0.347,0.107,degraded,2572.8700000000003,2572.8700000000003
pay_demo_000079,2026-07-05 18:55:00,1769.9,success,netbanking,0,680.0,0.143,0.065,healthy,1736.0400000000002,1736.0400000000002
